Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-09-14 18:10:00,26671.38,26696.31,26671.38,26687.89,61.73267,2023-09-14 18:14:59.999,1647412.2738345,2026,32.06663,855642.2177326,0
2023-09-14 18:15:00,26687.89,26723.64,26682.36,26682.37,112.23858,2023-09-14 18:19:59.999,2997101.7206188,2892,62.07204,1657539.6948589,0
2023-09-14 18:20:00,26682.37,26706.69,26670.78,26679.47,89.11806,2023-09-14 18:24:59.999,2378879.6466296,2310,24.85449,663308.8441919,0
2023-09-14 18:25:00,26679.47,26696.79,26678.78,26696.78,38.228,2023-09-14 18:29:59.999,1020138.0174089,1501,21.24807,567024.3141159,0
2023-09-14 18:30:00,26696.79,26766.2,26686.41,26725.2,166.49044,2023-09-14 18:34:59.999,4448790.7863435,3671,115.14431,3076633.6088486,0
2023-09-14 18:35:00,26725.19,26860.49,26666.0,26678.75,644.00537,2023-09-14 18:39:59.999,17239397.8107201,13027,347.33964,9298113.9930659,0
2023-09-14 18:40:00,26678.76,26734.37,26669.68,26672.52,114.79724,2023-09-14 18:44:59.999,3065093.1478756,3283,50.68889,1353329.4589982,0
2023-09-14 18:45:00,26672.53,26677.41,26595.04,26616.22,295.21983,2023-09-14 18:49:59.999,7864922.3946091,6254,105.17159,2801775.806797,0
2023-09-14 18:50:00,26616.22,26617.8,26587.44,26600.59,197.46147,2023-09-14 18:54:59.999,5252031.3950021,3222,110.82592,2947531.5578185,0
2023-09-14 18:55:00,26600.59,26608.39,26581.0,26581.0,90.63548,2023-09-14 18:59:59.999,2410618.5957508,2583,36.70937,976344.108099,0
2023-09-14 19:00:00,26581.01,26594.56,26558.0,26594.55,130.23017,2023-09-14 19:04:59.999,3461142.2463187,3751,70.84043,1882839.0647008,0
2023-09-14 19:05:00,26594.55,26628.69,26594.55,26613.81,70.61213,2023-09-14 19:09:59.999,1879113.0592494,2221,38.92707,1035854.2394099,0
2023-09-14 19:10:00,26613.81,26631.99,26595.49,26595.5,69.94291,2023-09-14 19:14:59.999,1861507.2431875,2297,33.00168,878389.9934829,0
2023-09-14 19:15:00,26595.5,26620.0,26595.49,26608.46,57.05109,2023-09-14 19:19:59.999,1518118.0277532,1673,34.93538,929500.1817145,0
2023-09-14 19:20:00,26608.46,26647.3,26607.92,26645.48,82.81167,2023-09-14 19:24:59.999,2204578.9227547,2075,59.02933,1571655.8451707,0
2023-09-14 19:25:00,26645.48,26651.77,26631.84,26631.85,71.02529,2023-09-14 19:29:59.999,1892168.5108648,2019,33.64056,896212.56648,0
2023-09-14 19:30:00,26631.84,26631.85,26600.01,26603.68,54.85965,2023-09-14 19:34:59.999,1459860.5868713,1562,19.72853,525013.4330319,0
2023-09-14 19:35:00,26603.68,26629.95,26603.68,26620.49,41.30652,2023-09-14 19:39:59.999,1099467.37315,1401,25.77117,685888.0108414,0
2023-09-14 19:40:00,26620.49,26646.84,26615.41,26615.51,53.19975,2023-09-14 19:44:59.999,1416739.7568701,1711,22.74992,605873.7936123,0
2023-09-14 19:45:00,26615.52,26659.01,26615.51,26659.01,98.7351,2023-09-14 19:49:59.999,2630263.4221969,2201,65.0151,1731839.8875305,0
2023-09-14 19:50:00,26659.0,26669.0,26645.09,26650.24,74.56749,2023-09-14 19:54:59.999,1987753.8675527,2125,33.86487,902731.7351592,0
2023-09-14 19:55:00,26650.23,26682.87,26650.23,26678.14,76.80914,2023-09-14 19:59:59.999,2048644.839017,2063,50.93717,1358474.7649992,0
2023-09-14 20:00:00,26678.13,26723.64,26659.99,26664.32,168.56984,2023-09-14 20:04:59.999,4498649.5264892,3997,110.69519,2954073.6795582,0
2023-09-14 20:05:00,26664.31,26667.22,26652.08,26652.08,57.79347,2023-09-14 20:09:59.999,1540781.2897333,1713,21.96228,585541.122789,0
2023-09-14 20:10:00,26652.09,26652.09,26608.31,26608.31,63.37118,2023-09-14 20:14:59.999,1687508.6100565,1984,10.8542,288988.5985424,0
2023-09-14 20:15:00,26608.31,26618.21,26585.0,26611.37,78.37291,2023-09-14 20:19:59.999,2084586.622515,2375,42.75841,1137243.437381,0
2023-09-14 20:20:00,26611.37,26619.14,26595.48,26602.99,102.46047,2023-09-14 20:24:59.999,2726252.5142371,1837,45.75961,1217515.5375185,0
2023-09-14 20:25:00,26603.0,26630.68,26599.66,26625.59,81.1339,2023-09-14 20:29:59.999,2159607.1958596,1589,52.71884,1403240.2136495,0
2023-09-14 20:30:00,26625.58,26625.59,26618.43,26618.45,52.56729,2023-09-14 20:34:59.999,1399459.4623962,1410,25.92021,690045.412949,0
2023-09-14 20:35:00,26618.45,26620.06,26602.87,26602.88,26.64022,2023-09-14 20:39:59.999,708914.3860752,1288,8.57341,228146.3869248,0
2023-09-14 20:40:00,26602.88,26608.59,26602.87,26602.99,28.13778,2023-09-14 20:44:59.999,748634.5954108,1002,13.56954,361023.4725969,0
2023-09-14 20:45:00,26603.0,26603.0,26558.02,26560.47,90.25431,2023-09-14 20:49:59.999,2398589.8198315,2780,23.69568,629702.3045083,0
2023-09-14 20:50:00,26560.46,26574.99,26560.46,26571.79,73.88591,2023-09-14 20:54:59.999,1962937.2034522,1775,31.43457,835103.179403,0
2023-09-14 20:55:00,26571.79,26577.42,26560.59,26568.72,69.72369,2023-09-14 20:59:59.999,1852437.6410443,1720,22.67718,602489.735083,0
2023-09-14 21:00:00,26568.72,26579.16,26558.15,26576.49,39.11332,2023-09-14 21:04:59.999,1039239.1124188,1726,20.35032,540708.0645457,0
2023-09-14 21:05:00,26576.5,26622.03,26576.49,26604.33,102.45071,2023-09-14 21:09:59.999,2725393.0505658,1908,68.4851,1821684.4541234,0
2023-09-14 21:10:00,26604.32,26612.3,26595.0,26598.03,52.03878,2023-09-14 21:14:59.999,1384503.7158071,1496,14.21162,378042.4641321,0
2023-09-14 21:15:00,26598.04,26613.3,26596.51,26613.3,67.70338,2023-09-14 21:19:59.999,1801052.3639636,1679,27.16302,722571.7865308,0
2023-09-14 21:20:00,26613.3,26614.99,26601.8,26601.8,24.79997,2023-09-14 21:24:59.999,659915.6099326,1168,4.64195,123522.98077,0
2023-09-14 21:25:00,26601.81,26607.66,26596.51,26596.51,46.64035,2023-09-14 21:29:59.999,1240719.0079581,1172,24.21163,644044.561432,0
